OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu076,0.002592,2.00E-06,0.000513,0.000704,1.00E-06,0.000326,0.004973,2.000014,0.621625,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu001,0.175156,0.007401,0.035122,0.19791,0.022734,0.053308,0.766824,2.000014,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.250244,0.010085,0.040998,0.196557,0.021523,0.051869,0.500784,2.000014,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0.138044,0.006116,0.031927,0.086883,0.004494,0.023702,0.223486,2.000014,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.025092,6.10E-05,0.003198,0.022341,0.000124,0.003938,0.660568,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.023552,0.000216,0.006001,0.021693,0.000239,0.005468,0.843095,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.033694,0.000174,0.005384,0.02265,0.000184,0.004796,0.133432,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.085042,0.001035,0.013133,0.117112,0.008556,0.032702,0.444905,2.000014,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.00308,3.00E-06,0.000675,0.002254,1.00E-06,4.00E-04,0.338,2.000014,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.002554,1.00E-06,0.000348,0.002113,4.00E-06,0.000745,0.664757,2.000014,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.014236,4.90E-05,0.002872,0.011748,0.000158,0.004448,0.704284,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.010856,5.00E-06,0.000895,0.007945,3.30E-05,0.002033,0.213932,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.00169,4.00E-06,0.000799,0.00262,1.10E-05,0.001193,0.596541,2.000014,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.004508,3.60E-05,0.002435,0.01896,0.000928,0.010772,0.214486,2.000014,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.012508,0.000147,0.004952,0.011241,0.000173,0.004653,0.874392,2.000014,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.000376,0,0.000251,0.000141,0,8.50E-05,0.461892,2.000014,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.015964,0.000228,0.006168,0.013494,0.000126,0.003964,0.780027,2.000014,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.010818,7.90E-05,0.003621,0.003522,3.30E-05,0.002025,0.082243,2.000014,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.006498,3.30E-05,0.002344,0.005747,2.20E-05,0.001675,0.823473,2.000014,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.011419,9.50E-05,0.003984,0.064937,0.005209,0.025518,0.041392,2.000014,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu020,0.006836,9.00E-06,0.001242,0.007128,6.10E-05,0.002771,0.939514,2.000014,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu021,0.006461,2.10E-05,0.001849,0.013072,0.000123,0.003923,0.134459,2.000014,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu022,0.00293,8.00E-06,0.00119,0.004733,7.80E-05,0.00313,0.664014,2.000014,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.018594,5.60E-05,0.003059,0.032229,0.000262,0.005721,0.039541,2.000014,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
