OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000648,1.00E-06,0.00032,0.003896,6.00E-06,0.000914,0.00146,1.999998,0.19564,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu020,0.002564,1.20E-05,0.001214,0.009756,4.30E-05,0.00248,0.010138,1.999998,0.452830667,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu038,0.001606,3.00E-06,0.000586,0.019994,0.000328,0.006848,0.00869,1.999998,0.452830667,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu002,0.158215,0.005709,0.026713,0.264046,0.010618,0.038947,0.02254,1.999998,0.544218667,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu036,0.005832,1.40E-05,0.001299,0.00264,2.00E-06,0.000503,0.02023,1.999998,0.544218667,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu083,0.005747,4.20E-05,0.002281,0.000644,1.00E-06,0.000376,0.024368,1.999998,0.544218667,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu027,0.00031,0,0.000127,3.20E-05,0,3.20E-05,0.029184,1.999998,0.558665143,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu023,0.008536,0.000134,0.004088,0.017193,3.70E-05,0.002294,0.051276,1.999998,0.6870984,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu076,0.00031,0,7.30E-05,0.001384,2.00E-06,0.000566,0.046793,1.999998,0.6870984,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu091,0,0,0,0.000129,0,0.000129,0.047422,1.999998,0.6870984,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu001,0.189486,0.009237,0.03398,0.135548,0.002986,0.020655,0.157161,1.999998,0.737938,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
