OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu041,0.001674,4.00E-06,0.000768,3.80E-05,0,3.80E-05,0.015864,2.000006,0.5871912,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu054,0.079429,0.008877,0.035611,0.00278,8.00E-06,0.001152,0.014827,2.000006,0.5871912,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu075,0.001191,2.00E-06,0.000476,0.000113,0,7.70E-05,0.012444,2.000006,0.5871912,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu093,0.003477,9.00E-06,0.001133,0.001052,0,0.000258,0.018012,2.000006,0.5871912,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu098,6.40E-05,0,4.20E-05,0.000751,1.00E-06,0.000289,0.008815,2.000006,0.5871912,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu027,9.70E-05,0,6.70E-05,0.000601,0,0.000251,0.02579,2.000006,0.693402,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu065,0.000193,0,0.000159,0,0,0,0.034032,2.000006,0.693402,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu105,0.000193,0,0.000159,0,0,0,0.034032,2.000006,0.693402,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu030,0.000193,0,0.000125,3.80E-05,0,3.80E-05,0.132744,2.000006,0.772759714,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu032,0.000869,2.00E-06,5.00E-04,3.80E-05,0,3.80E-05,0.061086,2.000006,0.772759714,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu036,0.00058,1.00E-06,0.000337,7.50E-05,0,4.80E-05,0.104494,2.000006,0.772759714,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu047,0.000483,1.00E-06,0.000309,0,0,0,0.081679,2.000006,0.772759714,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu050,0.00029,0,0.000189,0,0,0,0.088494,2.000006,0.772759714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu061,0.006311,4.50E-05,0.00253,0.012433,7.30E-05,0.0035,0.124728,2.000006,0.772759714,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu069,0.000129,0,9.70E-05,0,0,0,0.129429,2.000006,0.772759714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu074,0,0,0,0.000338,0,0.000216,0.07858,2.000006,0.772759714,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu076,0.000161,0,0.000161,0,0,0,0.066198,2.000006,0.772759714,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu078,6.40E-05,0,4.20E-05,0.000413,0,0.000236,0.112284,2.000006,0.772759714,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
