OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu009,0.000958,1.00E-06,0.000376,0.002554,1.00E-06,0.000348,0.003411,2.000011,0.191016,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu032,0.002592,5.00E-06,0.000773,0.009053,2.20E-05,0.001914,0.003356,2.000011,0.191016,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu010,0.005353,1.00E-05,0.001127,0.014236,4.90E-05,0.002872,0.005603,2.000011,0.209178667,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu006,0.015861,0.000119,0.003851,0.033694,0.000174,0.005384,0.009137,2.000011,0.255836,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu058,0.000366,0,0.000104,0.003118,7.00E-06,0.001074,0.012219,2.000011,0.2737056,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu025,0.001803,5.00E-06,0.000804,0.006987,2.30E-05,0.001956,0.015479,2.000011,0.288941333,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu004,0.015495,5.20E-05,0.00256,0.025092,6.10E-05,0.003198,0.019219,2.000011,0.307504,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu002,0.125761,0.012588,0.039667,0.250244,0.010085,0.040998,0.026822,2.000011,0.375508,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu022,0.000479,0,0.000231,0.00293,8.00E-06,0.00119,0.038836,2.000011,0.4349632,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu076,0.001211,1.00E-06,0.000428,0.002592,2.00E-06,0.000513,0.035288,2.000011,0.4349632,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu008,0.001352,2.00E-06,0.000557,0.00308,3.00E-06,0.000675,0.044096,2.000011,0.448977455,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu007,0.1472,0.007158,0.029912,0.085042,0.001035,0.013133,0.051877,2.000011,0.484185333,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu044,0.000225,0,0.00012,0,0,0,0.05663,2.000011,0.487889231,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu040,0.003719,1.30E-05,0.001254,0.013635,0.000168,0.005294,0.065712,2.000011,0.525696,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu266,0,0,0,0.000113,0,0.000113,0.078712,2.000011,0.587716267,Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);
Otu005,0.012706,3.80E-05,0.00219,0.023552,0.000216,0.006001,0.088233,2.000011,0.617631,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu003,0.217574,0.011477,0.037876,0.138044,0.006116,0.031927,0.113438,2.000011,0.6352528,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu014,0.004,2.50E-05,0.001767,0.012508,0.000147,0.004952,0.111274,2.000011,0.6352528,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu031,0.001747,3.00E-06,0.000569,0.000714,0,0.000269,0.105452,2.000011,0.6352528,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu054,0.000789,1.00E-06,0.000301,0.000225,0,0.000154,0.098644,2.000011,0.6352528,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
