OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu024,0.003465,4.00E-06,0.000679,0.001288,1.00E-06,0.000333,0.006427,1.999994,0.809802,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu003,0.089728,0.003308,0.020333,0.044174,0.000571,0.009032,0.043049,1.999994,0.864432,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu017,0.021524,0.000497,0.007884,0.00425,7.00E-06,0.001025,0.032427,1.999994,0.864432,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu048,0.007663,6.20E-05,0.002779,0.001545,2.00E-06,0.000544,0.033683,1.999994,0.864432,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu057,8.50E-05,0,5.90E-05,0.000515,0,0.000207,0.048024,1.999994,0.864432,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu121,0.000113,0,6.00E-05,0.000676,1.00E-06,0.000269,0.043488,1.999994,0.864432,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu230,0.000197,0,0.000167,0,0,0,0.017089,1.999994,0.864432,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu021,0.028003,0.000825,0.010156,0.014295,9.30E-05,0.003639,0.204744,1.999994,0.9146508,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu023,0.021467,0.000361,0.006716,0.037702,0.000572,0.009043,0.146061,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu028,0.000141,0,0.000112,0.000934,2.00E-06,0.000583,0.180195,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu037,2.80E-05,0,2.80E-05,0.000161,0,9.50E-05,0.104153,1.999994,0.9146508,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu038,0.015945,0.000313,0.006258,0.007212,6.30E-05,0.002992,0.209049,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu042,0.000113,0,8.50E-05,0,0,0,0.128325,1.999994,0.9146508,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu044,0.000254,0,9.90E-05,0.002028,1.20E-05,0.001326,0.181244,1.999994,0.9146508,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu046,0.000225,0,0.000104,0.000612,0,0.00024,0.136427,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu047,0.00817,3.80E-05,0.002177,0.004347,6.00E-06,0.00091,0.107634,1.999994,0.9146508,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu058,0.001606,4.00E-06,0.000667,0.002962,1.00E-06,0.000404,0.08222,1.999994,0.9146508,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu059,0.002845,1.80E-05,0.001517,0.000547,1.00E-06,0.000278,0.13372,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu061,0.007268,0.000121,0.003885,0.001803,3.00E-06,0.00068,0.165146,1.999994,0.9146508,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu063,5.60E-05,0,3.70E-05,0.00029,0,0.000137,0.099951,1.999994,0.9146508,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu067,0.009607,0.000129,0.00401,0.003316,2.90E-05,0.002031,0.15928,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu069,2.80E-05,0,2.80E-05,0.000161,0,0.000127,0.104153,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu078,0.000169,0,8.20E-05,0.000419,0,0.000115,0.076866,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu087,0,0,0,6.40E-05,0,4.20E-05,0.217774,1.999994,0.9146508,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu099,0,0,0,6.40E-05,0,4.20E-05,0.217774,1.999994,0.9146508,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Actinobacillus(100);
Otu100,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu123,0.003831,7.10E-05,0.002978,6.40E-05,0,4.20E-05,0.206439,1.999994,0.9146508,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu129,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999994,0.9146508,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu138,0.000282,0,0.000169,6.40E-05,0,4.20E-05,0.213037,1.999994,0.9146508,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu154,0,0,0,9.70E-05,0,6.70E-05,0.101624,1.999994,0.9146508,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacteriaceae_unclassified(100);
Otu040,0.0091,4.20E-05,0.002281,0.013941,8.10E-05,0.003411,0.241134,1.999994,0.964112625,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu086,2.80E-05,0,2.80E-05,0.00103,5.00E-06,0.000857,0.244854,1.999994,0.964112625,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu052,8.50E-05,0,5.90E-05,0,0,0,0.253322,1.999994,0.967229455,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
