OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu013,0.008069,9.50E-05,0.004364,0.073849,0.002371,0.01988,0.002358,2.000005,0.285318,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu001,0.628082,0.043754,0.093546,0.455,0.033366,0.074572,0.15203,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.021005,0.000443,0.009416,0.063031,0.003502,0.024159,0.093821,2.000005,0.824307595,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.000361,0,0.000183,0.002479,1.70E-05,0.001685,0.234493,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.009601,0.000112,0.004729,0.001878,3.00E-06,0.00071,0.094537,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.002164,6.00E-06,0.001103,0.005747,6.70E-05,0.003348,0.38391,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu009,9.00E-05,0,5.50E-05,0.000225,0,0.000143,0.502687,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.000496,1.00E-06,0.00033,0.001164,3.00E-06,0.000677,0.499567,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.000225,0,0.000101,0.000826,1.00E-06,0.000422,0.175164,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu014,0.000316,0,0.000196,0.001653,1.00E-05,0.001298,0.382881,2.000005,0.824307595,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0,0,0,0.000225,0,0.000225,0.398955,2.000005,0.824307595,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
