OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu002,0.263563,0.003588,0.02264,0.148186,0.003067,0.019579,0.000506,2.000002,0.069828,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu006,0.031746,9.60E-05,0.003703,0.018932,3.10E-05,0.001966,0.003831,2.000002,0.176226,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu024,0.000966,2.00E-06,0.000508,0.008395,4.20E-05,0.002286,0.002783,2.000002,0.176226,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu047,0.003348,3.00E-06,0.000677,0.00124,1.00E-06,0.000313,0.006602,2.000002,0.1918752,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu130,6.40E-05,0,4.20E-05,0.000394,0,0.000111,0.006952,2.000002,0.1918752,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu017,0.049583,0.001023,0.012089,0.017298,0.00014,0.004183,0.012807,2.000002,0.256522286,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu121,6.40E-05,0,4.20E-05,0.000451,0,0.000148,0.013012,2.000002,0.256522286,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu010,0.035159,0.000454,0.008057,0.015016,0.000137,0.004145,0.026627,2.000002,0.3674526,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu023,0.012074,1.50E-05,0.001465,0.019157,6.40E-05,0.002828,0.026578,2.000002,0.3674526,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu057,0.008371,6.40E-05,0.003016,0.026904,0.000458,0.007565,0.024133,2.000002,0.3674526,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu083,0.010239,0.000218,0.00558,0.064064,0.004645,0.024096,0.029482,2.000002,0.369865091,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu045,0.001256,2.00E-06,0.000508,0.018594,0.000537,0.008193,0.035289,2.000002,0.374606308,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu214,0,0,0,0.000169,0,0.000111,0.033335,2.000002,0.374606308,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);
Otu060,0.000547,0,0.000245,0.014058,0.000353,0.006641,0.04406,2.000002,0.434305714,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu134,0.000129,0,9.70E-05,0,0,0,0.047422,2.000002,0.4362824,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu004,0.040149,0.000111,0.003981,0.030567,7.20E-05,0.002994,0.055651,2.000002,0.451755176,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu079,0.000193,0,0.000134,2.80E-05,0,2.80E-05,0.055643,2.000002,0.451755176,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu092,0,0,0,0.000141,0,0.000141,0.065274,2.000002,0.474095368,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu141,0,0,0,0.000141,0,9.50E-05,0.065274,2.000002,0.474095368,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurella(100);
Otu091,3.20E-05,0,3.20E-05,0.000507,1.00E-06,0.000272,0.081627,2.000002,0.5632263,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu032,0.008822,4.40E-05,0.002507,0.004226,1.40E-05,0.001313,0.101627,2.000002,0.609978,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu061,0.000419,0,0.000217,0.001127,1.00E-06,0.000379,0.101663,2.000002,0.609978,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu086,9.70E-05,0,9.70E-05,0,0,0,0.101624,2.000002,0.609978,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu054,0.001159,3.00E-06,0.000675,0.000113,0,7.40E-05,0.122843,2.000002,0.70634725,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu073,0,0,0,0.000113,0,8.50E-05,0.128325,2.000002,0.708354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu005,0.015905,5.50E-05,0.002806,0.020115,0.000106,0.003646,0.431518,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu011,0.018706,4.60E-05,0.00257,0.012537,0.000161,0.004488,0.253506,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu013,0.001223,1.00E-06,0.000448,0.003803,5.40E-05,0.002594,0.383506,2.000002,0.805879884,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.01407,4.30E-05,0.002489,0.020566,0.000251,0.005598,0.339651,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu016,0.017773,9.40E-05,0.003662,0.039413,0.003114,0.01973,0.329373,2.000002,0.805879884,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu018,0.00396,1.20E-05,0.00131,0.002395,8.00E-06,0.000974,0.396108,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.007631,8.50E-05,0.003485,0.028961,0.001869,0.015284,0.18788,2.000002,0.805879884,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu022,0.009208,0.000292,0.006462,0.00138,4.00E-06,0.000742,0.247337,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu026,0.048617,0.001344,0.013858,0.07305,0.000773,0.009828,0.159614,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu027,6.40E-05,0,4.20E-05,0.000225,0,0.000104,0.162831,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu030,0.000322,0,4.60E-05,0.001155,4.00E-06,0.000702,0.256627,2.000002,0.805879884,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu043,0.002994,5.00E-06,0.000882,0.001859,6.00E-06,0.000854,0.42041,2.000002,0.805879884,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu046,0.002254,7.00E-06,0.001026,0.003831,1.60E-05,0.001427,0.445253,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu048,0.019608,0.000893,0.011297,0.006677,0.000128,0.003993,0.329072,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu051,0,0,0,8.50E-05,0,5.90E-05,0.253322,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu052,0.000322,0,0.00025,0.000113,0,4.30E-05,0.494663,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu053,0.002866,7.00E-06,0.001029,0.001775,2.00E-06,0.000543,0.405651,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu055,0.002801,1.10E-05,0.001245,0.00093,2.00E-06,0.000529,0.179434,2.000002,0.805879884,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu056,9.70E-05,0,6.70E-05,0.000197,0,0.000144,0.354587,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu063,0.000193,0,0.000159,8.50E-05,0,4.10E-05,0.320004,2.000002,0.805879884,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu064,0.003381,3.00E-06,0.000645,0.002113,4.00E-06,0.000749,0.214892,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu066,0,0,0,5.60E-05,0,5.60E-05,0.502215,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);
Otu069,0.000612,1.00E-06,0.000434,0.000141,0,5.90E-05,0.33112,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu071,0.001352,3.00E-06,0.000651,0.002564,3.00E-06,0.000635,0.196843,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu072,0.00029,0,0.000224,0.000704,1.00E-06,0.000305,0.311892,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu075,3.20E-05,0,3.20E-05,0,0,0,0.466667,2.000002,0.805879884,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu076,0.001642,3.00E-06,0.000688,0.000873,1.00E-06,0.000287,0.355313,2.000002,0.805879884,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu077,6.40E-05,0,4.20E-05,0.000141,0,7.30E-05,0.46036,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu080,0.000354,0,0.000225,0.000141,0,7.30E-05,0.438518,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu081,0.000161,0,8.10E-05,8.50E-05,0,8.50E-05,0.48578,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu087,0.000258,0,0.000222,0.00324,6.40E-05,0.002828,0.344386,2.000002,0.805879884,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu088,0,0,0,5.60E-05,0,3.70E-05,0.502215,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu089,6.40E-05,0,4.20E-05,0.000169,0,0.000111,0.297751,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu093,0.000161,0,0.000127,8.50E-05,0,5.90E-05,0.48578,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu096,3.20E-05,0,3.20E-05,0,0,0,0.466667,2.000002,0.805879884,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu098,0.000902,6.00E-06,0.000902,5.60E-05,0,5.60E-05,0.408663,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu100,6.40E-05,0,6.40E-05,0.000141,0,0.000141,0.46036,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu101,0.000354,0,0.000176,0.000676,1.00E-06,0.000322,0.459867,2.000002,0.805879884,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu104,6.40E-05,0,6.40E-05,0,0,0,0.217774,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu106,3.20E-05,0,3.20E-05,0,0,0,0.466667,2.000002,0.805879884,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu109,3.20E-05,0,3.20E-05,0,0,0,0.466667,2.000002,0.805879884,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu110,0,0,0,0.000676,3.00E-06,0.000614,0.303229,2.000002,0.805879884,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
