OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu103,3.20E-05,0,3.20E-05,0.000479,0,0.000108,0.000568,1.999999,0.064752,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu058,0.00058,0,0.00024,0.002648,4.00E-06,0.000692,0.006351,1.999999,0.362007,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu002,0.252358,0.003419,0.022102,0.204558,0.002644,0.01818,0.090959,1.999999,0.724071,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu005,0.010947,2.40E-05,0.00185,0.01727,5.70E-05,0.002661,0.048284,1.999999,0.724071,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu014,0.0151,8.40E-05,0.003457,0.031215,0.000348,0.006598,0.029622,1.999999,0.724071,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu019,0.010754,6.60E-05,0.003081,0.026792,0.000705,0.009389,0.101,1.999999,0.724071,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu022,0.008081,8.80E-05,0.003544,0.001521,5.00E-06,0.000804,0.064743,1.999999,0.724071,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu027,3.20E-05,0,3.20E-05,0.000197,0,0.000167,0.075168,1.999999,0.724071,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu031,0.001352,3.00E-06,0.00063,0.003437,8.00E-06,0.001026,0.076878,1.999999,0.724071,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu038,0.001481,5.00E-06,0.000843,0.015326,0.000426,0.007297,0.055054,1.999999,0.724071,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu061,0.000547,0,0.000208,0.002141,4.00E-06,0.00073,0.034216,1.999999,0.724071,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu083,0.000547,0,0.000225,0.002423,6.00E-06,0.000864,0.034108,1.999999,0.724071,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu100,0,0,0,0.000141,0,0.000112,0.065274,1.999999,0.724071,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu109,9.70E-05,0,9.70E-05,0,0,0,0.101624,1.999999,0.724071,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu141,9.70E-05,0,6.70E-05,0,0,0,0.101624,1.999999,0.724071,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurella(100);
Otu243,0,0,0,0.000141,0,8.50E-05,0.065274,1.999999,0.724071,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);
Otu006,0.02711,0.000244,0.005909,0.016509,9.60E-05,0.00347,0.118608,1.999999,0.7314525,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu050,0,0,0,0.000113,0,7.40E-05,0.128325,1.999999,0.7314525,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu064,0.005699,3.30E-05,0.002181,0.002169,5.00E-06,0.000806,0.127351,1.999999,0.7314525,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu143,0,0,0,0.000113,0,7.40E-05,0.128325,1.999999,0.7314525,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);
Otu032,0.009917,4.60E-05,0.002572,0.005212,2.70E-05,0.001827,0.138554,1.999999,0.752150286,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu076,0.000998,1.00E-06,0.000278,0.000479,0,0.000235,0.163554,1.999999,0.810658957,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu079,0.000193,0,0.000159,5.60E-05,0,3.70E-05,0.157422,1.999999,0.810658957,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu003,0.076049,0.004152,0.024355,0.106942,0.005467,0.026141,0.478824,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.030233,0.000119,0.004126,0.024031,0.000163,0.004517,0.366446,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu010,0.035964,0.000627,0.009462,0.021946,0.000304,0.006162,0.245,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.0189,0.000153,0.00467,0.011579,0.000131,0.004044,0.268622,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu017,0.02682,0.000691,0.009934,0.018058,0.000173,0.004654,0.513568,1.999999,0.848503652,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu025,0.005924,2.40E-05,0.001867,0.010396,0.000202,0.005021,0.494649,1.999999,0.848503652,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu026,0.046396,0.003378,0.021967,0.077643,0.000514,0.008013,0.199324,1.999999,0.848503652,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu028,0.000129,0,9.70E-05,0.001521,1.20E-05,0.00121,0.284784,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu029,0.005441,5.80E-05,0.002884,0.002395,9.00E-06,0.001046,0.390122,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu030,0.000322,0,0.000146,0.001972,2.60E-05,0.001787,0.440068,1.999999,0.848503652,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu033,0.020381,0.000122,0.004168,0.028369,0.000648,0.008998,0.510108,1.999999,0.848503652,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu041,0.00029,0,0.000254,2.80E-05,0,2.80E-05,0.360905,1.999999,0.848503652,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu042,0.000129,0,6.70E-05,2.80E-05,0,2.80E-05,0.191741,1.999999,0.848503652,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu044,0.003509,1.50E-05,0.001477,0.006705,6.40E-05,0.002833,0.371203,1.999999,0.848503652,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
