OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000394,0,0.000146,0.007953,3.90E-05,0.002362,0.002233,2,0.303688,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu025,0.003803,6.00E-06,0.00087,0.015132,0.000121,0.004163,0.007977,2,0.542436,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu009,0.001127,1.00E-06,0.00033,0.003864,1.10E-05,0.001246,0.029581,2,0.566695,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,0.010621,6.00E-05,0.002732,0.018706,4.60E-05,0.00257,0.027419,2,0.566695,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.001747,1.00E-06,0.000309,0.005634,2.00E-05,0.001679,0.020314,2,0.566695,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu020,0.003296,7.00E-06,0.00092,0.008275,2.60E-05,0.001925,0.017756,2,0.566695,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu045,0.012903,0.00021,0.005122,0.001256,2.00E-06,0.000508,0.020942,2,0.566695,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu133,0.000169,0,0.000169,0,0,0,0.033335,2,0.566695,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Anaerofustis(100);
Otu115,0,0,0,0.000129,0,8.30E-05,0.047422,2,0.716599111,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu008,0.003719,6.00E-06,0.00089,0.007051,2.00E-05,0.001671,0.06886,2,0.765595378,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu010,0.021045,0.000215,0.005184,0.035159,0.000454,0.008057,0.127593,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
