OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu002,0.046653,0.000534,0.009438,0.164375,0.015849,0.051395,0.018535,2.000021,0.231542923,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.002291,1.00E-06,0.000471,0.014311,0.000132,0.004698,0.009202,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.003644,6.00E-06,0.00102,0.01495,0.000125,0.004561,0.012727,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu010,0.002329,0,0.000215,0.01803,0.000245,0.006386,0.011374,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.001127,1.00E-06,0.000494,0.010856,8.90E-05,0.003856,0.010374,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu016,0.002442,4.00E-06,0.00083,0.010217,6.10E-05,0.003178,0.014141,2.000021,0.231542923,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu025,0.000601,0,0.000215,0.004432,1.70E-05,0.00169,0.019051,2.000021,0.231542923,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu031,7.50E-05,0,7.50E-05,0.003794,1.60E-05,0.00165,0.018707,2.000021,0.231542923,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu032,0.000639,0,0.000256,0.004094,1.40E-05,0.001508,0.018192,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu033,0.002479,4.00E-06,0.000781,0.010029,4.20E-05,0.002661,0.005384,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu034,0.000263,0,0.000147,0.001878,2.00E-06,0.000598,0.006586,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu036,0.000188,0,0.000147,0.002705,7.00E-06,0.001092,0.017253,2.000021,0.231542923,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu058,7.50E-05,0,7.50E-05,0.00169,2.00E-06,0.000548,0.003414,2.000021,0.231542923,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu123,0,0,0,0.000488,0,0.000221,0.021596,2.000021,0.243726286,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
