OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu204,0,0,0,0.000338,1.00E-06,0.000338,0.000999,2.000005,0.12987,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu054,0.001183,1.00E-06,0.000399,0.000113,0,7.40E-05,0.006993,2.000005,0.454545,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu003,0.1996,0.016414,0.045296,0.072825,0.002435,0.017448,0.020979,2.000005,0.47619,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu022,0.000141,0,7.30E-05,0.00138,4.00E-06,0.000742,0.032967,2.000005,0.47619,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu024,0.002564,7.00E-06,0.000939,0.008395,4.20E-05,0.002286,0.021978,2.000005,0.47619,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu028,0,0,0,0.000197,0,0.000167,0.01562,2.000005,0.47619,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu069,0.000535,0,0.000159,0.000141,0,5.90E-05,0.02997,2.000005,0.47619,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu121,0.000113,0,7.40E-05,0.000451,0,0.000148,0.030969,2.000005,0.47619,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu214,0,0,0,0.000169,0,0.000111,0.031243,2.000005,0.47619,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);
Otu058,0.000873,1.00E-06,0.000387,0.005719,6.00E-05,0.002737,0.037962,2.000005,0.493506,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu033,0.005268,7.00E-06,0.000935,0.013523,0.000142,0.004208,0.062937,2.000005,0.602967857,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu080,0,0,0,0.000141,0,7.30E-05,0.062491,2.000005,0.602967857,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
