OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000648,1.00E-06,0.00032,0.002962,1.00E-06,0.000404,0.000198,1.999997,0.025938,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu023,0.008536,0.000134,0.004088,0.037702,0.000572,0.009043,0.004505,1.999997,0.2950775,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu017,0.012396,0.000144,0.004246,0.00425,7.00E-06,0.001025,0.050967,1.999997,0.911154125,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu034,0.004226,3.80E-05,0.002173,0.01671,0.000239,0.005841,0.03767,1.999997,0.911154125,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu038,0.001606,3.00E-06,0.000586,0.007212,6.30E-05,0.002992,0.054813,1.999997,0.911154125,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu059,2.80E-05,0,2.80E-05,0.000547,1.00E-06,0.000278,0.051659,1.999997,0.911154125,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu105,2.80E-05,0,2.80E-05,0.000193,0,0.000103,0.055643,1.999997,0.911154125,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu134,0,0,0,0.000129,0,9.70E-05,0.047422,1.999997,0.911154125,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu001,0.189486,0.009237,0.03398,0.285618,0.01439,0.04534,0.072923,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.158215,0.005709,0.026713,0.110371,0.002153,0.01754,0.117484,1.999997,0.933920833,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu005,0.015636,0.000105,0.003625,0.031424,0.000674,0.009811,0.113912,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu075,0.000225,0,0.000141,0,0,0,0.092714,1.999997,0.933920833,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu084,0.001352,3.00E-06,0.000581,0.004991,3.70E-05,0.0023,0.107253,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu088,0.000113,0,6.00E-05,0,0,0,0.128325,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu091,0,0,0,9.70E-05,0,9.70E-05,0.101624,1.999997,0.933920833,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu103,2.80E-05,0,2.80E-05,0.000515,1.00E-06,0.000302,0.089813,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu115,0.000113,0,0.000113,0,0,0,0.128325,1.999997,0.933920833,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu154,0,0,0,9.70E-05,0,6.70E-05,0.101624,1.999997,0.933920833,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacteriaceae_unclassified(100);
Otu093,0.00031,0,0.00019,3.20E-05,0,3.20E-05,0.137,1.999997,0.944578947,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu031,0.004479,2.70E-05,0.001851,0.002028,2.00E-06,0.000516,0.198714,1.999997,0.950946467,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu035,0.002845,2.70E-05,0.001825,0.00058,1.00E-06,0.00029,0.216692,1.999997,0.950946467,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu044,0.000197,0,0.000108,0.002028,1.20E-05,0.001326,0.164297,1.999997,0.950946467,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu055,0.002226,9.00E-06,0.001058,0.0066,6.40E-05,0.003018,0.167912,1.999997,0.950946467,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu073,0.00062,0,0.000212,0.00029,0,0.000153,0.203022,1.999997,0.950946467,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu079,0.000141,0,8.50E-05,0.000708,1.00E-06,0.000419,0.183538,1.999997,0.950946467,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu087,0,0,0,6.40E-05,0,4.20E-05,0.217774,1.999997,0.950946467,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu099,0,0,0,6.40E-05,0,4.20E-05,0.217774,1.999997,0.950946467,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Actinobacillus(100);
Otu100,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999997,0.950946467,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu123,0.000732,2.00E-06,0.000543,6.40E-05,0,4.20E-05,0.21678,1.999997,0.950946467,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
