OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu051,0,0,0,0.000366,1.00E-06,0.000335,0.000999,1.999994,0.018124714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu063,0,0,0,0.000761,5.00E-06,0.000761,0.000999,1.999994,0.018124714,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu066,0,0,0,0.000282,1.00E-06,0.000282,0.000999,1.999994,0.018124714,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);
Otu069,0,0,0,0.002113,3.60E-05,0.002113,0.000999,1.999994,0.018124714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu092,0,0,0,0.000282,1.00E-06,0.000282,0.000999,1.999994,0.018124714,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu110,0,0,0,0.002366,4.50E-05,0.002366,0.000999,1.999994,0.018124714,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu153,0,0,0,0.000592,3.00E-06,0.000592,0.000999,1.999994,0.018124714,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Psychrobacter(100);
Otu022,0.000479,0,0.000231,0.00924,9.80E-05,0.003507,0.002997,1.999994,0.042291,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu061,0.007409,0.00017,0.004607,0.000366,0,0.000127,0.002997,1.999994,0.042291,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu071,0.000197,0,7.90E-05,0,0,0,0.01562,1.999994,0.198374,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu075,2.80E-05,0,2.80E-05,0.000282,0,0.000189,0.028971,1.999994,0.330655083,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu109,0,0,0,0.000169,0,0.00014,0.031243,1.999994,0.330655083,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu048,0.001324,7.00E-06,0.000905,5.60E-05,0,3.70E-05,0.036963,1.999994,0.361100077,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu010,0.005353,1.00E-05,0.001127,0.018594,0.000303,0.006158,0.052947,1.999994,0.4482846,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu038,0.026003,0.003049,0.019523,0.000817,1.00E-06,0.000327,0.052947,1.999994,0.4482846,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu028,0,0,0,0.000141,0,9.50E-05,0.062491,1.999994,0.496022313,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu004,0.015495,5.20E-05,0.00256,0.028116,0.000306,0.006186,0.071928,1.999994,0.537344471,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu017,0.021185,0.000396,0.007033,0.006874,0.000127,0.003988,0.086913,1.999994,0.543741429,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu054,0.000789,1.00E-06,0.000301,0.01634,0.001484,0.013618,0.08991,1.999994,0.543741429,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu059,0.000254,0,0.00015,2.80E-05,0,2.80E-05,0.086913,1.999994,0.543741429,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu103,0.000282,0,0.000152,2.80E-05,0,2.80E-05,0.078921,1.999994,0.543741429,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu058,0.000366,0,0.000104,0.000141,0,7.30E-05,0.103896,1.999994,0.599763273,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu081,0,0,0,0.000113,0,0.000113,0.124989,1.999994,0.690156652,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu043,0.001747,0,0.000189,0.00293,4.00E-06,0.000685,0.14985,1.999994,0.742442,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu047,0.005634,2.40E-05,0.001727,0.002451,1.20E-05,0.001227,0.156843,1.999994,0.742442,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu060,5.60E-05,0,3.70E-05,0.00124,7.00E-06,0.000939,0.140859,1.999994,0.742442,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu130,0.000282,0,0.00014,8.50E-05,0,4.10E-05,0.157842,1.999994,0.742442,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu079,0.000789,2.00E-06,0.000493,2.80E-05,0,2.80E-05,0.164835,1.999994,0.747644464,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu121,0.000169,0,8.20E-05,0.000535,0,0.000233,0.175824,1.999994,0.769987862,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu003,0.217574,0.011477,0.037876,0.139903,0.011208,0.037429,0.186813,1.999994,0.7908417,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu090,8.50E-05,0,4.10E-05,0.000563,1.00E-06,0.000333,0.193806,1.999994,0.793979419,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu032,0.002592,5.00E-06,0.000773,0.006057,4.30E-05,0.002317,0.224775,1.999994,0.892075781,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu118,0,0,0,8.50E-05,0,8.50E-05,0.249989,1.999994,0.933782441,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);
Otu203,0,0,0,8.50E-05,0,8.50E-05,0.249989,1.999994,0.933782441,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);
Otu037,0.000169,0,8.20E-05,0.001014,5.00E-06,0.000767,0.25974,1.999994,0.942485143,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu001,0.209122,0.014541,0.042633,0.165258,0.007471,0.03056,0.427572,1.999994,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.125761,0.012588,0.039667,0.174611,0.015015,0.043323,0.406593,1.999994,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
