OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu051,0,0,0,0.000535,2.00E-06,0.000535,0.000999,2.000001,0.033966,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu092,0,0,0,0.000423,1.00E-06,0.000423,0.000999,2.000001,0.033966,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu110,0,0,0,0.007606,0.000463,0.007606,0.000999,2.000001,0.033966,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu152,0,0,0,0.000366,1.00E-06,0.000366,0.000999,2.000001,0.033966,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu076,0.001268,1.00E-06,0.000354,0.00031,0,7.30E-05,0.004995,2.000001,0.135864,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu059,0.002845,1.80E-05,0.001517,2.80E-05,0,2.80E-05,0.007992,2.000001,0.181152,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu103,0.000394,0,0.000164,2.80E-05,0,2.80E-05,0.02997,2.000001,0.582274286,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu034,0.013833,9.30E-05,0.003417,0.004226,3.80E-05,0.002173,0.034965,2.000001,0.594405,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu038,0.015945,0.000313,0.006258,0.001606,3.00E-06,0.000586,0.061938,2.000001,0.735414769,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu048,0.007663,6.20E-05,0.002779,0.001831,1.10E-05,0.001187,0.053946,2.000001,0.735414769,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu055,0.008057,6.00E-05,0.002728,0.002226,9.00E-06,0.001058,0.055944,2.000001,0.735414769,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu086,2.80E-05,0,2.80E-05,0.000197,0,0.000197,0.070297,2.000001,0.735414769,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu230,0.000197,0,0.000167,2.80E-05,0,2.80E-05,0.070297,2.000001,0.735414769,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu069,2.80E-05,0,2.80E-05,0.005409,0.00022,0.005249,0.081918,2.000001,0.7789536,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu075,2.80E-05,0,2.80E-05,0.000225,0,0.000141,0.085914,2.000001,0.7789536,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu001,0.248845,0.005225,0.025556,0.189486,0.009237,0.03398,0.196803,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.118126,0.004136,0.022737,0.158215,0.005709,0.026713,0.263736,2.000001,0.7970688,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu006,0.042399,0.000341,0.006529,0.032539,0.000253,0.005624,0.261738,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu022,0.004789,5.30E-05,0.002565,0.014537,0.000424,0.007279,0.224775,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.021467,0.000361,0.006716,0.008536,0.000134,0.004088,0.125874,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu028,0.000141,0,0.000112,0.00062,1.00E-06,0.000285,0.11988,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu035,0.000648,1.00E-06,0.000367,0.002845,2.70E-05,0.001825,0.243756,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.009973,7.50E-05,0.003055,0.005832,1.40E-05,0.001299,0.246753,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu041,0,0,0,0.000113,0,8.50E-05,0.124989,2.000001,0.7970688,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu043,0.00386,2.00E-06,0.000545,0.00524,9.00E-06,0.001082,0.262737,2.000001,0.7970688,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu045,5.60E-05,0,3.70E-05,0.000282,0,0.000164,0.262737,2.000001,0.7970688,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu046,0.000225,0,0.000104,0.001578,1.10E-05,0.001166,0.148851,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu047,0.00817,3.80E-05,0.002177,0.004874,2.00E-05,0.001587,0.228771,2.000001,0.7970688,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu054,0.001409,3.00E-06,0.00058,0.01989,0.002187,0.016533,0.128871,2.000001,0.7970688,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu058,0.001606,4.00E-06,0.000667,0.000648,1.00E-06,0.00032,0.203796,2.000001,0.7970688,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu061,0.007268,0.000121,0.003885,0.002057,9.00E-06,0.001051,0.148851,2.000001,0.7970688,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu067,0.009607,0.000129,0.00401,0.002761,4.00E-06,0.000692,0.12987,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu068,0,0,0,8.50E-05,0,5.90E-05,0.249989,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu072,0.000535,0,0.000175,0.000254,0,0.000124,0.1998,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu078,0.000169,0,8.20E-05,0.000507,0,0.000216,0.138861,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu079,0.000704,1.00E-06,0.000355,0.000141,0,8.50E-05,0.164835,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu084,0.004564,4.60E-05,0.002392,0.001352,3.00E-06,0.000581,0.142857,2.000001,0.7970688,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
