OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.00058,0,0.00024,0.006665,1.20E-05,0.001313,0.000342,1.999997,0.04104,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu008,0.002672,9.00E-06,0.001131,0.005184,9.00E-06,0.001114,0.11026,1.999997,0.848052,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu014,0.0151,8.40E-05,0.003457,0.024953,0.000122,0.004171,0.063301,1.999997,0.848052,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu027,3.20E-05,0,3.20E-05,0.000193,0,0.000159,0.124979,1.999997,0.848052,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu033,0.020381,0.000122,0.004168,0.012943,3.30E-05,0.002171,0.110233,1.999997,0.848052,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu036,0.006697,1.80E-05,0.00161,0.004025,5.00E-06,0.000886,0.141342,1.999997,0.848052,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu038,0.001481,5.00E-06,0.000843,0.016549,0.00031,0.00666,0.021356,1.999997,0.848052,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu043,0.001384,1.00E-06,0.000328,0.002608,4.00E-06,0.000774,0.140959,1.999997,0.848052,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu045,0.002962,1.90E-05,0.001641,0.000386,0,0.000254,0.117795,1.999997,0.848052,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu047,0.001739,6.00E-06,0.000944,0.003735,6.00E-06,0.000916,0.127493,1.999997,0.848052,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu050,0,0,0,0.000161,0,6.40E-05,0.06249,1.999997,0.848052,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu065,0.00058,1.00E-06,0.000269,0.00161,1.00E-06,0.000416,0.031521,1.999997,0.848052,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu072,3.20E-05,0,3.20E-05,0.000193,0,0.000193,0.124979,1.999997,0.848052,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu090,0.000258,0,0.000143,0,0,0,0.064589,1.999997,0.848052,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu091,0,0,0,0.000129,0,0.000129,0.124988,1.999997,0.848052,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
