OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000592,1.00E-06,0.000259,0.006665,1.20E-05,0.001313,0.000197,1.999997,0.023443,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu003,0.142946,0.00801,0.031642,0.052481,0.000709,0.010064,0.007908,1.999997,0.2918594,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.021721,6.00E-05,0.002746,0.034966,0.000126,0.004245,0.00975,1.999997,0.2918594,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu006,0.01772,0.000148,0.004304,0.036576,0.000261,0.00611,0.012263,1.999997,0.2918594,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu057,0.005437,2.20E-05,0.001667,0.000966,2.00E-06,0.00054,0.011526,1.999997,0.2918594,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu008,0.002451,1.00E-06,0.000405,0.005184,9.00E-06,0.001114,0.020118,1.999997,0.317427091,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu024,0.004282,1.60E-05,0.001424,0.00103,1.00E-06,0.000411,0.026053,1.999997,0.317427091,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu025,0.003268,6.00E-06,0.000895,0.010432,6.40E-05,0.003016,0.021592,1.999997,0.317427091,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu031,0.01572,0.000322,0.00634,0.002028,3.00E-06,0.000614,0.0285,1.999997,0.317427091,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu032,0.004395,1.70E-05,0.001472,0.012975,8.70E-05,0.00353,0.023553,1.999997,0.317427091,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu043,0.000873,0,0.000243,0.002608,4.00E-06,0.000774,0.029342,1.999997,0.317427091,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
