OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu066,0,0,0,0.000254,1.00E-06,0.000254,0.000999,2.000003,0.0314685,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);
Otu095,0.000676,3.00E-06,0.000586,0,0,0,0.000999,2.000003,0.0314685,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrionaceae_unclassified(100);
Otu118,0,0,0,0.000761,5.00E-06,0.000761,0.000999,2.000003,0.0314685,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);
Otu122,0,0,0,0.000282,1.00E-06,0.000282,0.000999,2.000003,0.0314685,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu022,0.000141,0,7.30E-05,0.016199,0.000673,0.009175,0.004995,2.000003,0.125874,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu057,0.018847,0.00016,0.004469,0.004733,3.40E-05,0.00206,0.00999,2.000003,0.20979,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu230,0.000197,0,0.000197,0,0,0,0.01562,2.000003,0.28116,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu033,0.005268,7.00E-06,0.000935,0.016199,0.000111,0.003717,0.017982,2.000003,0.2832165,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu103,0.000254,0,0.000124,2.80E-05,0,2.80E-05,0.025974,2.000003,0.363636,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu133,0,0,0,0.000169,0,0.000169,0.031243,2.000003,0.3936618,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Anaerofustis(100);
Otu003,0.1996,0.016414,0.045296,0.090348,0.005239,0.02559,0.053946,2.000003,0.496871053,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu006,0.014988,9.90E-05,0.003517,0.028003,0.000286,0.005978,0.074925,2.000003,0.496871053,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.04716,0.001298,0.012736,0.094518,0.003079,0.019617,0.070929,2.000003,0.496871053,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu031,0.020763,0.000731,0.00956,0.004,4.20E-05,0.00229,0.068931,2.000003,0.496871053,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu090,0,0,0,0.000141,0,5.90E-05,0.062491,2.000003,0.496871053,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu109,0,0,0,0.000141,0,0.000112,0.062491,2.000003,0.496871053,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu121,0.000113,0,7.40E-05,0.00324,3.20E-05,0.00199,0.064935,2.000003,0.496871053,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu134,8.50E-05,0,8.50E-05,0.00093,2.00E-06,0.000505,0.073926,2.000003,0.496871053,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu194,0,0,0,0.000141,0,0.000141,0.062491,2.000003,0.496871053,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);
Otu045,0.032257,0.000796,0.009973,0.012903,0.00021,0.005122,0.078921,2.000003,0.4972023,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
