OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu002,0.037356,0.002434,0.024666,0.161483,0.001417,0.018819,0.003446,1.999992,0.423858,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu051,0.007776,1.60E-05,0.002019,0.001014,1.00E-06,0.000436,0.008293,1.999992,0.5100195,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu030,0.02513,0.000172,0.006549,0.053696,0.000274,0.00828,0.016717,1.999992,0.685397,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu006,0.028905,0.000223,0.00747,0.047104,0.000968,0.015556,0.324848,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu008,0.014311,9.00E-05,0.004754,0.047611,0.001245,0.017645,0.065174,1.999992,0.992834609,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.035328,0.000712,0.013342,0.0151,0.00019,0.006888,0.152717,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu017,0.060288,0.001641,0.020253,0.034145,0.000367,0.009584,0.256033,1.999992,0.992834609,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu019,0.007268,0.00015,0.006115,0.000169,0,0.000169,0.256967,1.999992,0.992834609,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu021,0.000394,1.00E-06,0.000394,0,0,0,0.371304,1.999992,0.992834609,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu033,0,0,0,0.000169,0,0.000169,0.249979,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu034,0.000169,0,0.000169,0.001409,4.00E-06,0.001042,0.248272,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu035,0.014255,0.000476,0.010904,0.002085,7.00E-06,0.001279,0.296185,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.00586,0.000108,0.005187,0.015157,1.10E-05,0.00169,0.081924,1.999992,0.992834609,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
