OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.050766,0.001534,0.019585,0.155792,0.026147,0.080849,0.22133,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.246394,0.017879,0.066856,0.095447,0.011553,0.053742,0.067443,1.99999,0.958255543,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.084629,0.001598,0.01999,0.046146,0.001047,0.016178,0.128011,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu007,0.000113,0,0.000113,0.000958,1.00E-06,0.000454,0.061625,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu009,0.02789,1.60E-05,0.002019,0.012621,0.000292,0.00855,0.072295,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,0.001521,1.00E-06,0.000463,0.008508,9.60E-05,0.004903,0.157114,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu014,0,0,0,0.000789,1.00E-06,0.000491,0.102739,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu017,0.03606,0.000293,0.008553,0.078319,0.002998,0.027378,0.137625,1.99999,0.958255543,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.063725,0.002062,0.022702,0.01803,0.000354,0.009404,0.059193,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0,0,0,0.003888,4.40E-05,0.003299,0.25358,1.99999,0.958255543,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu029,5.60E-05,0,5.60E-05,0.000394,0,0.00025,0.19292,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu043,0.001352,1.00E-06,0.000356,0.000507,0,0.000232,0.04592,1.99999,0.958255543,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu047,0,0,0,0.000563,0,0.000338,0.08633,1.99999,0.958255543,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu048,0.000958,2.00E-06,0.000738,0,0,0,0.206432,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu049,0.000169,0,0.000108,0.013185,0.000497,0.011152,0.256989,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu050,0.008733,3.30E-05,0.002862,0.040624,0.000884,0.014864,0.039545,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu058,0.00062,0,0.000108,0.011551,8.10E-05,0.004495,0.024318,1.99999,0.958255543,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu062,0.010987,0.000101,0.005015,0.043892,0.001951,0.022084,0.145273,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu064,0,0,0,0.003268,3.20E-05,0.002835,0.262023,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu071,0.002197,7.00E-06,0.001276,0.000113,0,0.000113,0.100432,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu072,0.009353,0.000102,0.005055,0.002479,2.20E-05,0.00233,0.229,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu073,0.000958,1.00E-06,0.000524,0.000169,0,0.000108,0.135545,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu084,0.000169,0,0.000169,0,0,0,0.249979,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu089,0.000113,0,0.000113,0.000902,1.00E-06,0.000478,0.102739,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu094,0.001972,4.00E-06,0.001038,0.005691,2.80E-05,0.002626,0.196068,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);
Otu095,0.000451,0,0.000206,0.000113,0,0.000113,0.148443,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrionaceae_unclassified(100);
Otu101,0,0,0,0.000169,0,0.000169,0.249979,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu107,0.000169,0,0.000108,0,0,0,0.249979,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu123,0.008508,0.000102,0.005045,0.000169,0,0.000108,0.092955,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu135,5.60E-05,0,5.60E-05,0.000958,2.00E-06,0.00075,0.240409,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Pediococcus(100);
Otu148,0.000282,0,0.000169,0.000902,1.00E-06,0.00046,0.219966,1.99999,0.958255543,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichia(100);
Otu170,0.000732,1.00E-06,0.000425,5.60E-05,0,5.60E-05,0.116136,1.99999,0.958255543,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Trueperella(100);
Otu230,0.005747,6.70E-05,0.00408,0.000394,1.00E-06,0.000394,0.197523,1.99999,0.958255543,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu244,0,0,0,0.000169,0,0.000169,0.249979,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Hyphomicrobiaceae(100);Devosia(100);
Otu248,0.000169,0,0.000169,0,0,0,0.249979,1.99999,0.958255543,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Brucellaceae(100);Pseudochrobactrum(100);
Otu021,0,0,0,0.000958,4.00E-06,0.000958,0.376852,1.99999,0.984429714,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu033,0,0,0,0.000394,1.00E-06,0.000394,0.376852,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu034,5.60E-05,0,5.60E-05,0.001916,1.40E-05,0.001841,0.354023,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu041,0,0,0,0.000902,3.00E-06,0.000902,0.376852,1.99999,0.984429714,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu059,0.005691,7.80E-05,0.004426,0.000676,1.00E-06,0.000478,0.277352,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu067,0.00062,1.00E-06,0.000425,0.008959,0.00023,0.00758,0.293023,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu083,0.003212,1.40E-05,0.0019,0.001014,4.00E-06,0.001014,0.345682,1.99999,0.984429714,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu092,0.001352,5.00E-06,0.001131,0.000169,0,0.000169,0.338466,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu100,0.006592,9.60E-05,0.004898,0.001409,2.00E-06,0.00064,0.33217,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu115,0.000338,0,0.000338,0,0,0,0.376852,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu145,0,0,0,0.000282,0,0.000282,0.364977,1.99999,0.984429714,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);
