OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.378784,0.053195,0.13316,0.094433,0.009889,0.070318,0.083286,2.000001,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.001728,8.00E-06,0.001617,0.000902,2.00E-06,0.000902,0.863,2.000001,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0,0,0,0.000225,0,0.000225,0.329175,2.000001,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.00015,0,0.00015,0,0,0,0.519978,2.000001,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.002705,7.00E-06,0.001501,0.002366,3.00E-06,0.00124,0.949698,2.000001,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.039216,0.001192,0.019935,0.020622,0.000814,0.020171,0.75473,2.000001,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0,0,0,0.000789,1.00E-06,0.000789,0.329175,2.000001,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.000301,0,0.000301,0.000113,0,0.000113,0.790238,2.000001,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.00015,0,0.00015,0,0,0,0.519978,2.000001,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu012,7.50E-05,0,7.50E-05,0,0,0,1,2.000001,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.098039,0.007807,0.051012,0.188866,0.008426,0.064909,0.230095,2.000001,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu015,0.00015,0,7.50E-05,0.000113,0,0.000113,1,2.000001,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
