OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu050,0.003493,2.00E-05,0.002217,0.015927,1.00E-05,0.001805,0.004908,2,0.56442,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu002,0.151679,0.015367,0.061983,0.037338,0.003302,0.033176,0.104563,2,0.870299875,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0.000169,0,0.000169,0,0,0,0.265282,2,0.870299875,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu006,0.026707,0.000259,0.008049,0.012471,5.00E-06,0.001237,0.075782,2,0.870299875,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0,0,0,0.001202,1.00E-06,0.000601,0.050264,2,0.870299875,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu011,0.001916,8.00E-06,0.001382,0.006311,3.00E-05,0.003179,0.218816,2,0.870299875,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu013,0.005465,3.50E-05,0.002958,0.001653,5.00E-06,0.001329,0.258241,2,0.870299875,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.000169,0,0.000108,0.001503,3.00E-06,0.000914,0.147621,2,0.870299875,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.024228,0.000592,0.012164,0.106078,0.007259,0.049189,0.106667,2,0.870299875,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu017,0.031609,0.00048,0.01096,0.069642,0.0014,0.021605,0.111816,2,0.870299875,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu022,0.000732,1.00E-06,0.000445,0.010818,0.000214,0.008454,0.249862,2,0.870299875,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu025,0.014988,0.000204,0.007133,0.003756,4.00E-05,0.003644,0.171655,2,0.870299875,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu026,0.004733,3.60E-05,0.002983,0.001127,3.00E-06,0.001016,0.283011,2,0.870299875,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu033,0,0,0,0.00293,1.90E-05,0.002493,0.25846,2,0.870299875,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu035,0.001465,5.00E-06,0.001091,0.021862,0.000977,0.018042,0.294391,2,0.870299875,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.013354,0.000174,0.006604,0.003606,2.30E-05,0.002754,0.18508,2,0.870299875,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu042,0.003831,1.90E-05,0.00216,0.026369,0.001,0.018262,0.230644,2,0.870299875,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu044,0.000169,0,0.000169,0,0,0,0.265282,2,0.870299875,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
