OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.133649,0.005669,0.037648,0.13934,0.005236,0.036181,0.918709,1.999993,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.093701,0.004896,0.034985,0.050428,0.00294,0.027112,0.439767,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0,0,0,5.60E-05,0,5.60E-05,1,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.052006,0.001784,0.021121,0.068458,0.004686,0.034228,0.779209,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.021129,0.000133,0.005762,0.022087,0.000358,0.009467,0.929256,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.03268,0.000101,0.005034,0.013917,8.70E-05,0.004669,0.014616,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.000169,0,0.000108,0.000282,0,0.000169,0.686012,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.028116,0.000261,0.008075,0.015438,0.000236,0.007677,0.304756,1.999993,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.03437,0.000241,0.007767,0.024848,0.001851,0.021512,0.774581,1.999993,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0,0,0,5.60E-05,0,5.60E-05,1,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.003606,3.10E-05,0.002786,0.010367,0.000248,0.007867,0.550756,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.011832,0.000259,0.008049,0.048231,0.005915,0.038453,0.468233,1.999993,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.010593,0.00017,0.006522,0.001747,5.00E-06,0.001067,0.226953,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0,0,0,0.001521,4.00E-06,0.000935,0.114965,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.046146,0.000338,0.009198,0.079277,0.001023,0.015995,0.07607,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.00648,8.30E-05,0.004543,0.003775,2.40E-05,0.002464,0.714407,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.051161,0.001781,0.021103,0.081136,0.003075,0.027726,0.51093,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.021862,0.000267,0.008175,0.010593,0.00011,0.005252,0.293651,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.003268,3.40E-05,0.002905,0.001859,5.00E-06,0.001151,0.747802,1.999993,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu020,0,0,0,5.60E-05,0,5.60E-05,1,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu022,0.002141,0,0.000268,0.011325,0.000404,0.010051,0.487244,1.999993,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0,0,0,0.000845,2.00E-06,0.00064,0.231814,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu025,0.014988,0.000221,0.00744,0.008339,0.000187,0.006829,0.621,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu026,0.005296,9.40E-05,0.004852,0.008677,0.000188,0.006864,0.781779,1.999993,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu028,0.011889,0.000116,0.005387,0.004451,5.00E-06,0.001102,0.221698,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu029,0.000169,0,0.000108,0.000282,0,0.000213,0.735907,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu030,0.059387,0.001662,0.020384,0.087277,0.014707,0.060636,0.767035,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu031,0.004339,2.10E-05,0.002305,0.006254,1.20E-05,0.00172,0.61807,1.999993,1,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu032,0.000113,0,6.50E-05,0.000789,2.00E-06,0.000789,0.51514,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu033,0,0,0,0.000451,0,0.000184,0.020849,1.999993,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu034,0.001747,8.00E-06,0.00145,0.002648,2.60E-05,0.002574,0.83286,1.999993,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu035,0.007945,0.000134,0.005784,0.0111,0.000349,0.009335,0.844174,1.999993,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.022087,0.00056,0.011832,0.004846,2.40E-05,0.002466,0.192488,1.999993,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu037,0.000169,0,0.000108,5.60E-05,0,5.60E-05,0.624979,1.999993,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu039,0.025749,0.000314,0.008862,0.034483,0.00146,0.019102,0.77657,1.999993,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu040,5.60E-05,0,5.60E-05,0.003493,4.50E-05,0.003345,0.348953,1.999993,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu041,0.000169,0,0.000169,0.000394,1.00E-06,0.000394,0.700965,1.999993,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
