OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.26696,0.020867,0.072227,0.094771,0.000927,0.021524,0.032883,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.014481,0.000592,0.012165,0.001465,3.00E-06,0.00124,0.312447,1.999991,0.735090909,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.027947,0.002927,0.027049,0.000338,0,0.000113,0.351936,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.014142,7.90E-05,0.004432,0.005296,2.00E-06,0.001014,0.045277,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu008,0.011607,0.000511,0.011307,0,0,0,0.345723,1.999991,0.735090909,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.010762,0.000444,0.010537,0.000113,0,0.000113,0.366851,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,0.004677,4.70E-05,0.003438,0,0,0,0.171404,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.00169,1.00E-05,0.001544,0.000113,0,0.000113,0.358,1.999991,0.735090909,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.064345,0.007694,0.043859,0.149313,0.001088,0.023327,0.0745,1.999991,0.735090909,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.000563,1.00E-06,0.000374,0,0,0,0.117415,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.030144,0.002532,0.025162,0.000789,1.00E-06,0.000789,0.252032,1.999991,0.735090909,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu017,0.026538,0.000979,0.015647,0.000563,1.00E-06,0.000563,0.078851,1.999991,0.735090909,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.014199,0.000686,0.013092,0.000676,1.00E-06,0.000676,0.34134,1.999991,0.735090909,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.016171,0.000439,0.010476,0.000451,0,0.000451,0.125436,1.999991,0.735090909,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu021,0.000225,0,0.000225,0,0,0,0.388128,1.999991,0.735090909,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu025,0.006254,0.000139,0.005885,0,0,0,0.313777,1.999991,0.735090909,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
